Name	Half-life (h)
Gle1	2.774445391
Gle1	5.129423744
Glis2	1.674252974
Glmp	4.022851621
Glrx2	5.687693121
Glrx3	7.608928332
Glrx5	4.789123798
Glt8d1	2.993173077
Glud1	7.56035782
Glud1	5.884257404
Glul	2.262426389
Glul	4.530809471
Gm16286	2.759219165
Gm19705	4.561839675
Gm21949	3.667345639
Gm364	6.452972744
Gm37013	5.884086465
Gm38666	5.884086465
Gm38667	5.884086465
Gm5134	2.849786879
Gm561	3.688723101
Gm5617	4.857864241
Gm6563	6.640409419
Gm6792	4.488689132
Gm6793	7.811163597
Gm9938	2.191472956
Gmppb	3.249979338
Gmpr	2.939208216
Gmps	4.984857824
Gna13	2.388156517
Gnb1	8.580561284
Gnb1	5.761697474
Gnb1l	3.526239069
Gng10	5.16203988
Gng12	7.477876911
Gng5	9.907825591
Gnl1	5.794668222
Gnl1	2.43406319
Gnl2	4.648907827
Gnpat	3.178424518
Gnptab	1.900109063
Gns	4.804458598
Golga2	2.957361675
Golga4	2.057698959
Golga5	3.915870622
Golph3	3.449884693
Golph3	5.071506897
Golph3l	3.401202277
Golt1b	2.951201715
Gon4l	2.732919637
Gorasp2	2.902438763
Gorasp2	3.719040072
Gpa33	3.56919953
Gpaa1	8.047190622
Gpank1	2.060254606
Gpat2	4.964850503
Gpatch2	2.419298137
Gpatch4	3.05111652
Gpbp1l1	3.312256748
Gpc1	5.860320175
Gpd2	5.191304312
Gpd2	4.622066389
Gpn1	3.544738601
Gpn2	4.162633257
Gpn3	3.821183604
Gpr107	2.926849168
Gprasp1	3.500599368
Gprasp2	4.289430417
Gprc5a	2.56318211
Gps1	5.129649463
Gpx1	7.84852412
Gpx4	9.761416483
Grasp	1.576214874
Grhl2	2.255388568
Grhpr	5.542919095
Gripap1	3.754533591
Grk6	4.861223295
Grn	5.313155478
Grpel1	4.637256019
Gse1	1.535451823
Gse1	1.464316607
Gsk3b	3.403512966
Gspt2	2.479675955
Gsr	5.475931174
Gsta4	10.20764258
Gtf2a2	3.873453085
Gtf2b	1.804579023
Gtf2e2	3.888022385
Gtf2e2	3.346297453
Gtf2h1	3.907164461
Gtf2h3	4.578036971
Gtf2h5	5.583299181
Gtpbp1	4.572104846
Gtpbp3	3.423540031
Gtse1	3.549229502
Gys1	4.734420365
Gzf1	1.616467982
H13	6.29740042
H1f0	1.53079795
H2-Q7	5.377395542
H2-Q9	5.386052514
H2afx	3.848276205
H2afz	5.486151289
Hadhb	3.940861769
Hagh	4.493541805
Hars2	2.02552379
